origin	terminus	name	stops
pakistan_refinery	saddar	61-A	11
saudabad	nasir_cln	F-1	13
new_khi	saddar	4-B	13
saddar	dhobi_ghat	17-H	14
pahalwan_goth	gizri	F-13	15
gulistan-e-jouhar	ma_jinnah_road	11-A	15
north_nazimabad_block_m	keamari	2-K	15
maymar_complex	tower	4-L	15
ahsanabad	ibrahim_hyderi	S-3	15
qaddafi_tn	qabrastan	D-12	16
moach_goth	26th_street	X-25	17
raees_amrohi_cln	sharifabad	1-L	17
keamari	tokyo_terrace_plaza	7-H	17
pahalwan_goth	bhains_cln	G-21	17
raja_ghazanfar_ali_road	gul_ahmed_textile_mills	C-2	18
rehmania_mour	tower	2-C	18
saadi_tn	qasim_ali_shah	X-20	18
fareed_cln	university_of_khi	G-13	19
moosa_cln	ground_landhi	C-3	19
f.b_area	noorani_masjid	2-D	19
saddar	dhobi_ghat	C	19
khokrapar_no_4	shershah_hub_river_road	45-A	19
khokrapar_no_4	shershah_hub_river_road	45-A	19
filter_plant	tower	D-19	20
orangi_tn	pahalwan_goth	G-10	20
yaqoobabad_orangi_tn	pahalwan_goth	G-12	20
gul_ahmed_textile_mills	abdul_hameed_badayuni_college	F-9	21
ittehad_tn	rasheedabad	G-25	21
naiabadi	gulshan_jauhar_goth	G-9	21
manzoor_cln	rasheedabad	U-1	22
ittehad_tn	qayyumabad	X-8	22
azam_basti	saadi_tn	11-C	22
naiabadi	tower	4-G	23
dhabi_bux_goth	shirin_jinnah_cln	G-8	23
hub_river_road	shirin_jinnah_cln	P-4	23
memon_goth	rcd_high_way_hub_river_road	P-9	23
safoora_goth	new_truck_stand_grace_village	7-K	24
gul_ahmed_textile_mills	mustafabad_cln	F-11	24
clifton	saeedabad_naiabadi_sector-8	20	25
biscuit_factory	two_minutes_chowrangi	F-18	26
korangi_100_quarter	ayub_goth	S-2	27
chamra_chowrangi	new_sabzi_mandi	51-C	27
taiser_tn	baldia_yousuf_goth	D-4	28
ittehad_tn	mohammad_khan_goth	G-55	28
manzoor_cln	faqeer_cln	1-E	29
ghouspak	pahalwan_goth	17-I	29
khadda_quaters	saddar	17-K	29
ghouspak	pahalwan_goth	17-I	29
faqeer_cln	kharkar_chowrangi	19-D	29
faqeer_cln	kharkar_chowrangi	4-Q	29
ziaul_haq_cln	banalipara	F-17	32
tower	tower	6-B	33
korangi_100_quarter	taiser_tn	D-10	35
mianwali_cln	machine_tool_factory	F-16	35
korangi_100_quarter	taiser_tn	D-10	35
orangi_tn	kiran_hospital	G-27	35
